CNTRYID,name
8,Albania
12,Algeria
31,Baku (Azerbaijan)
32,Argentina
36,Australia
40,Austria
56,Belgium
70,Bosnia and Herzegovina
76,Brazil
96,Brunei Darussalam
100,Bulgaria
112,Belarus
116,Cambodia
124,Canada
152,Chile
158,Chinese Taipei
170,Colombia
188,Costa Rica
191,Croatia
196,Cyprus
203,Czech Republic
208,Denmark
214,Dominican Republic
222,El Salvador
233,Estonia
246,Finland
250,France
268,Georgia
275,Palestinian Authority
276,Germany
300,Greece
320,Guatemala
344,Hong Kong (China)
348,Hungary
352,Iceland
360,Indonesia
372,Ireland
376,Israel
380,Italy
383,Kosovo
388,Jamaica
392,Japan
398,Kazakhstan
400,Jordan
410,Korea
411,Kosovo
422,Lebanon
428,Latvia
440,Lithuania
442,Luxembourg
446,Macao (China)
458,Malaysia
470,Malta
484,Mexico
496,Mongolia
498,Republic of Moldova
499,Montenegro
504,Morocco
528,Netherlands
554,New Zealand
578,Norway
591,Panama
600,Paraguay
604,Peru
608,Philippines
616,Poland
620,Portugal
630,Puerto Rico (USA)
634,Qatar
642,Romania
643,Russian Federation
682,Saudi Arabia
688,Serbia
702,Singapore
703,Slovak Republic
704,Viet Nam
705,Slovenia
724,Spain
725,Spain (Regions)
752,Sweden
756,Switzerland
764,Thailand
780,Trinidad and Tobago
784,United Arab Emirates
788,Tunisia
792,Türkiye
804,Ukraine
807,North Macedonia
826,United Kingdom
827,United Kingdom - excl. Scotland
828,Scotland
840,United States
858,Uruguay
860,Uzbekistan
901,Ukrainian regions (18 of 27)
970,B-S-J-G (China)
971,Spain (Regions)
972,USA (Massachusetts)
973,USA (North Carolina)
974,Argentina (Ciudad Autónoma de Buenos)
975,B-S-J-Z (China)
981,Moscow City (RUS)
982,Moscow Region (RUS)
983,Tatarstan (RUS)
